Parameter Bodenart Vorhersagemodell Weiﬂe Elster
Art  Art Kap.  WP      FK      BFMAX    KF      BF0
              [%]    [%]       [%]      [mm/d]  [-]
GEW1   ms      15.00  25.00   35.00    1300.00  0.50
GEW2   ms      15.00  25.00   35.00    1300.00  0.50
gSfs1  sl      3.00   18.50   37.00    1300.00  0.50
gSfs2  sl      3.00   18.50   37.00    1300.00  0.50
gSms1  ls      5.00   20.00   38.00    1200.00  0.50
gSms2  ls      5.00   20.00   38.00    1200.00  0.50
Ls21   ls      18.00  33.50   40.50     200.00  0.50
Ls22   ls      18.00  33.50   40.50     200.00  0.50
Ls31   sl      18.50  33.50   40.00      70.00  0.50
Ls32   sl      18.50  33.50   40.00      70.00  0.50
Ls41   ls4     15.50  31.50   39.50     140.00  0.50
Ls42   ls4     15.50  31.50   39.50     140.00  0.50
Lsg1   ls      15.00  30.00   36.50    1000.00  0.50
Lsg2   ls      15.00  30.00   36.50    1000.00  0.50
Lt21   lt2     24.00  39.00   44.00      90.00  0.50
Lt22   lt2     24.00  39.00   44.00      90.00  0.50
Lt31   ks      29.50  43.50   47.00     100.00  0.50
Lt32   ks      29.50  43.50   47.00     100.00  0.50
Lts1   ls      28.50  42.00   46.50      60.00  0.50
Lts2   ls      28.50  42.00   46.50      60.00  0.50
Lu1    sl      19.50  36.50   42.50     180.00  0.50
Lu2    sl      19.50  36.50   42.50     180.00  0.50
mS1    sl      3.50   11.00   36.00    4270.00  0.50
mS2    sl      3.50   11.00   36.00    4270.00  0.50
mSgs1  ls      3.00   11.00   34.50    2810.00  0.50
mSgs2  ls      3.00   11.00   34.50    2810.00  0.50
Sl21   ms      6.50   24.00   36.50     490.00  0.50
Sl22   ms      6.50   24.00   36.50     490.00  0.50
Sl31   tum     8.00   26.00   37.00     330.00  0.50
Sl32   tum     8.00   26.00   37.00     330.00  0.50
Sl41   sl4     11.50  28.50   38.50     210.00  0.50
Sl42   sl4     11.50  28.50   38.50     210.00  0.50
Slu1   tum     10.50  31.50   38.00     110.00  0.50
Slu2   tum     10.50  31.50   38.00     110.00  0.50
Ss1    tum     6.00   16.50   36.00    2290.00  0.50
Ss2    tum     6.00   16.50   36.00    2290.00  0.50
St21   tum      9.00  23.00   38.50     790.00  0.50
St22   tum      9.00  23.00   38.50     790.00  0.50
St31   tum     14.00  29.50   38.50     170.00  0.50
St32   tum     14.00  29.50   38.50     170.00  0.50
Su21   tuh     5.50   21.50   35.00     880.00  0.50
Su22   tuh     5.50   21.50   35.00     880.00  0.50
Su31   tuh     7.50   28.00   37.00     320.00  0.50
Su32   tuh     7.50   28.00   37.00     320.00  0.50
Tl1    xx      36.00  50.50   54.00      30.00  0.50
Tl2    xx      36.00  50.50   54.00      30.00  0.50
Uls1   sl      11.00  33.00   39.50     140.00  0.50
Uls2   sl      11.00  33.00   39.50     140.00  0.50
Us1    ks      7.50   33.00   38.00     100.00  0.50
Us2    ks      7.50   33.00   38.00     100.00  0.50
Ut31   ks      12.50  36.00   40.50      80.00  0.50
Ut32   ks      12.50  36.00   40.50      80.00  0.50
Ut41   ks      15.50  36.00   41.50      90.00  0.50
Ut42   ks      15.50  36.00   41.50      90.00  0.50
